file	line	words	group	verdict	evidence	evidence_sha	reason
apps/lumen/e2e/shared_stateful_foundations.rs	1	21	deep	merged	apps/lumen/e2e/shared_stateful_foundations.rs:1-11://!	7f4d536f7a72	Lock Lumen's ownership boundary: shared OTLP tracing and shared reloadable peer transport, with no local duplicate tracer. generator gap: missing-generator:lumen-foundation-ownership-test (#1646).
apps/lumen/e2e/spec_gen_e2e.rs	2	42	head	disposable	apps/lumen/e2e/spec_gen_e2e.rs:3-6://!	6c1fc9559aa1	lumen spec gen e2e: drives the CLI to emit typed clients from lumen's own OpenAPI offline (py pydantic + sync/async h2c runtime, --lang emitter selection) plus plain `spec` OpenAPI passthrough. Not yet captured as unit-test units in lumen-tests.md; aw claim_code/fillback adoption hangs.
apps/lumen/e2e/structured_stdout_traceparent.rs	1	24	deep	merged	apps/lumen/e2e/structured_stdout_traceparent.rs:1-14://!	6f8eefb3a730	Run the real Lumen binary, make valid, invalid, and missing traceparent HTTP writes, capture stdout concurrently, and assert the shared JSONL and correlation contracts.
libs/cli-std/src/issue.rs	227	40	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	mechanical extraction of search()/view()'s pre-existing direct-api.github.com URL construction into named, pure, unit-tested functions -- byte-identical format!() computation, unchanged output -- so AC3 (fallback path stays byte-identical when courier is unconfigured) is verifiable without a live network call, mirroring courier_search_url()/courier_view_url() above.
libs/cli-std/src/issue.rs	333	27	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	the generic flowchart generator cannot patch a branch into an existing function; route through courier when configured, else fall through unchanged to the direct api.github.com path below.
libs/cli-std/src/issue.rs	406	27	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	the generic flowchart generator cannot patch a branch into an existing function; route through courier when configured, else fall through unchanged to the direct api.github.com path below.
libs/cli-std/src/issue.rs	507	27	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	the generic flowchart generator cannot patch a branch into an existing function; route through courier when configured, else fall through unchanged to the direct api.github.com path below.
libs/cli-std/src/issue.rs	577	27	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	the generic flowchart generator cannot patch a branch into an existing function; route through courier when configured, else fall through unchanged to the direct api.github.com path below.
libs/cli-std/src/issue.rs	760	42	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	the generic flowchart generator cannot patch a branch into an existing function; shared courier request helpers used by the search/view/create/comment courier branches above -- authenticate with resolve_courier_token() (the courier bearer token, not the GitHub token) the same way crate::github_get() authenticates with resolve_github_token().
libs/cli-std/src/issue.rs	896	52	deep	merged	libs/cli-std/src/issue.rs:3-30://!	71275bcf9ee1	the unit-test generator emits an empty CODEGEN block for this project (no test-body synthesis primitive yet); hand-written proxy-mode routing + fallback tests against the pure URL builders extracted above (this crate has no HTTP-mock dev-dependency, so routing is verified via the exact request-shape builders search/view/create/comment call, not a live network round trip).
libs/cli-std/src/lib.rs	313	32	deep	merged	libs/cli-std/src/lib.rs:3-36://!	4b956cda4815	the generic Mermaid-flowchart-to-Rust generator only synthesizes one brand-new function per diagram with todo!() bodies; it cannot target insertions into existing named functions, so resolve_courier_url()/resolve_courier_token() are hand-written to mirror resolve_github_token()'s env-resolution pattern exactly.
libs/peer-tls/src/material.rs	1	23	head	disposable	libs/peer-tls/src/material.rs:2-16://!	c65f1e9040f7	Deciding whether a candidate leaf would survive a handshake is control flow over rustls' verifier and error taxonomy; no generator primitive expresses it.
libs/peer-tls/src/reload.rs	1	18	head	disposable	libs/peer-tls/src/reload.rs:2-26://!	a0d27d6f0bef	Last-known-good state, trust overlap, and fail-closed expiry are stateful policy over a lock; no generator primitive produces it.
libs/raft-runtime/e2e/peer_mtls.rs	1	15	deep	deferred:S3	-	-	Ephemeral CA/certificate tests for mutual success, hostname mismatch, untrusted client rejection, and explicit reload preservation.
libs/raft-runtime/src/peer_transport.rs	1	15	head	disposable	libs/raft-runtime/src/peer_transport.rs:26-28:///	11c611c7bc65	Reloadable last-known-good mTLS client/server snapshot, raw TLS connect/accept seams, HTTPS client, and TLS HTTP/2 listener.
libs/raft-runtime/src/proposal_cache.rs	1	17	head	disposable	libs/raft-runtime/src/proposal_cache.rs:2-7://!	6dd8a26f1c2f	Bounded replicated proposal outcome cache shared by effectful Raft state machines to make ambiguous client retries idempotent.
libs/service-auth/src/async_verifier.rs	1	17	head	disposable	libs/service-auth/src/async_verifier.rs:2-28://!	b41ff90222b2	Async authentication seam for verifiers that must reach an identity provider, plus the sync-to-async adapter and middleware.
libs/service-auth/src/gcp.rs	1	25	head	disposable	libs/service-auth/src/gcp.rs:2-61://!	fe63518c1ce3	Google ID-token verification against a cached JWKS, access-token introspection with a bounded cache, credential-shape discrimination, and the shared resolution tail into the existing role map.
libs/service-auth/src/k8s.rs	1	15	head	disposable	libs/service-auth/src/k8s.rs:2-50://!	493293309630	Module composition and the feature boundary between the pure decision logic and the kube transport.
libs/service-auth/src/k8s/cache.rs	1	19	head	disposable	libs/service-auth/src/k8s/cache.rs:2-21://!	831e9dd137d4	A bounded TTL cache whose expiry semantics encode a fail-closed revocation budget; no generator primitive models a stale-only-on-outage window.
libs/service-auth/src/k8s/delegated.rs	1	19	head	disposable	libs/service-auth/src/k8s/delegated.rs:2-28://!	0e8393983519	The delegated authenticate/authorize state machine, its fail-closed outage path, and its credential-free metrics; no generator primitive models this policy.
libs/service-auth/src/k8s/kube_backend.rs	1	18	head	disposable	libs/service-auth/src/k8s/kube_backend.rs:2-14://!	3d5238acce72	The kube-rs transport for TokenReview/SubjectAccessReview and its response-shape validation; no generator primitive models a Kubernetes review round trip.
libs/service-auth/src/k8s/loopback_proxy.rs	1	46	head	disposable	libs/service-auth/src/k8s/loopback_proxy.rs:2-42://!	496afe44b62a	A forwarding proxy whose contract is where the credential is *not* — not in the child's environment, not in its argv, not in its address space — and whose failure mode must be a refusal rather than a stale token; no generator primitive models either half.
libs/service-auth/src/k8s/principal.rs	1	15	head	disposable	libs/service-auth/src/k8s/principal.rs:2-24://!	8754f418ad4c	Strict ServiceAccount principal parsing for delegated authentication; no generator primitive models a reserved-prefix username grammar.
libs/service-auth/src/k8s/projected.rs	1	33	head	disposable	libs/service-auth/src/k8s/projected.rs:2-34://!	32340448e7e8	A rotation-aware credential reader whose whole contract is what it refuses to do — never cache, never echo the material, never present a token the callee will reject — has no generator primitive.
libs/service-auth/src/k8s/token_request.rs	1	39	head	disposable	libs/service-auth/src/k8s/token_request.rs:2-52://!	481c2ee1fb92	Minting a short-lived audience-bound ServiceAccount token from a caller's own kubeconfig, plus the refresh clock and the redaction contract around it; no generator primitive models a TokenRequest round trip or a credential that must not reach a log line.
libs/service-backup/src/gcs.rs	1	15	head	disposable	libs/service-backup/src/gcs.rs:2-7://!	8273b1bfa1bc	Implement GCS JSON API put/list/prune/get with Vat emulator endpoint support and ADC workload-identity bearer tokens.
libs/service-http/e2e/body_limit.rs	1	18	deep	deferred:S3	-	-	Live-router coverage for the shared body-limit layer: content-length-known rejection, under-limit pass-through, and streamed/chunked bodies without a declared length.
libs/service-http/e2e/otlp_tracing.rs	1	16	deep	deferred:S3	-	-	Cover plain startup, identity stability, exporter construction fallback, and W3C parent propagation with local deterministic fixtures.
libs/service-http/e2e/request_trace_context.rs	1	16	deep	deferred:S3	-	-	Prove valid parent preservation, local id generation, malformed and zero-id fallback, request routing, and no-OTLP behavior.
libs/service-http/src/admission.rs	1	15	head	disposable	libs/service-http/src/admission.rs:2-6://!	04071c88f1b2	Bounded deterministic opaque-key token buckets, redacted decision hooks, standard Retry-After rejection, and reusable axum middleware.
libs/service-http/src/body_limit.rs	1	22	head	disposable	libs/service-http/src/body_limit.rs:2-60://!	7934a9d90dfc	Hand-rolled tower Layer/Service enforcing a streaming request-body byte cap with a structured 413 envelope; pending codegen support for custom Layer/Service state machines.
libs/service-http/src/server_timing.rs	1	21	head	disposable	libs/service-http/src/server_timing.rs:2-75://!	00d8d873b822	Stateful axum middleware (per-request phase-append extension + response-driven disclosure gating) is hand-written pending codegen support for middleware with request/response extension state.
libs/service-k8s/src/certificate.rs	1	19	head	disposable	libs/service-k8s/src/certificate.rs:2-34://!	6c35eb42d94c	Name the certificate lifecycle's public surface and the layering that keeps its correctness independent of any particular certificate authority.
libs/service-k8s/src/certificate/cas.rs	1	32	head	disposable	libs/service-k8s/src/certificate/cas.rs:2-33://!	641548909ed6	Own the CA Service request shape and the workload-identity token exchange, kept behind a feature so the rest of the lifecycle can be built and tested with no cloud dependency at all.
libs/service-k8s/src/certificate/digest.rs	1	30	head	disposable	libs/service-k8s/src/certificate/digest.rs:2-7://!	a230a357f75b	Own the one hashing convention the lifecycle compares state by, so a fingerprint written by the projector and a fingerprint read back by the state machine cannot disagree about encoding.
libs/service-k8s/src/certificate/ephemeral.rs	1	36	head	disposable	libs/service-k8s/src/certificate/ephemeral.rs:2-22://!	686185d76bb4	Own an in-process CA that makes the whole lifecycle exercisable without a cloud account, so the rotation and expiry paths are covered by tests that run in CI rather than only by a manual GKE pass.
libs/service-k8s/src/certificate/issuer.rs	1	30	head	disposable	libs/service-k8s/src/certificate/issuer.rs:2-16://!	691f6ed5de63	Own the issuer-neutral request/response boundary and the in-memory keypair+CSR construction, so the CA integration is one replaceable implementation rather than a shape the rest of the lifecycle is written around.
libs/service-k8s/src/certificate/profile.rs	1	39	head	disposable	libs/service-k8s/src/certificate/profile.rs:2-15://!	501559401f61	Own what a service is allowed to ask a certificate for -- purpose, identity, and lifetime bounds -- as one validated value, so a profile that names another namespace's identity cannot be constructed rather than merely being rejected later.
libs/service-k8s/src/certificate/projection.rs	1	36	head	disposable	libs/service-k8s/src/certificate/projection.rs:2-27://!	ddb5c87e5e13	Own how leaf material and a widening trust bundle are laid out in one owner-scoped Secret, including which facts are read back from the certificate itself rather than from an annotation that could disagree with it.
libs/service-k8s/src/certificate/reconcile.rs	1	30	head	disposable	libs/service-k8s/src/certificate/reconcile.rs:2-16://!	b47b52d300a1	Own the one place that turns a decision into cluster writes, including the authorization check that has to run before a key exists rather than before a Secret is written.
libs/service-k8s/src/certificate/state.rs	1	36	head	disposable	libs/service-k8s/src/certificate/state.rs:2-19://!	0b91519638c9	Own the rotation state machine as a pure function of observed cluster state and time, so restart-safety and overlap ordering are properties of one testable decision rather than of when the controller happened to be running.
libs/service-k8s/src/certificate/status.rs	1	35	head	disposable	libs/service-k8s/src/certificate/status.rs:2-20://!	1166698e921a	Own what a certificate lifecycle is allowed to say about itself, and make the redaction a property of the only path that produces status rather than a rule each call site is asked to remember.
libs/service-k8s/src/controller.rs	29	22	deep	disposable	libs/service-k8s/src/controller.rs:27-28:///	d04a1fd0cf19	AW cannot currently scaffold a hand-written region around async fn reconcile, so the planning error seam is bounded manually under the blocker.
libs/service-k8s/src/controller.rs	247	19	deep	disposable	libs/service-k8s/src/controller.rs:248-253:///	44925d4fc305	AW cannot currently match async Rust functions as hand-write anchors; implement the TD-owned plan/apply/readiness/status sequence under the filed blocker.
libs/service-k8s/src/metrics.rs	1	24	head	disposable	libs/service-k8s/src/metrics.rs:2-22://!	44c04e725668	Own the controller's own metric set, its Prometheus exposition, and the scrape listener; the generator has no primitive for a self-observing async runtime surface.
libs/service-k8s/src/render.rs	40	21	deep	merged	libs/service-k8s/src/render.rs:3-21://!	b8be8e154a6e	Expose semantic common and Deployment submodules while preserving the monolithic root compatibility surface for existing StatefulSet consumers in this first landing.
libs/service-k8s/src/render/common.rs	1	20	head	disposable	libs/service-k8s/src/render/common.rs:2-6://!	74750e7769ae	Own RenderCtx, ServicePodTemplate, labels, owner references, resources, ServiceAccount, ordinary ClusterIP Service, PDB, HPA, and CronJob composition independent of workload kind.
libs/service-k8s/src/render/deployment.rs	1	17	head	merged	libs/service-k8s/src/render/deployment.rs:2-18://!	d5b9e5a2f5cc	Own ServiceDeployment and service_deployment with replicas and caller-supplied rollout fields while emitting no stateful or sticky-session contract.
libs/service-k8s/src/render/projected_token.rs	1	33	head	disposable	libs/service-k8s/src/render/projected_token.rs:2-25://!	d6faa35a818d	Own the projected `serviceAccountToken` volume/mount pair and the apiserver's expiration floor as one value, so a workload cannot mount a token whose audience and file path disagree with the client that reads it.
libs/service-k8s/src/render/rbac.rs	1	50	head	disposable	libs/service-k8s/src/render/rbac.rs:2-44://!	68bdb870f9d3	Own the RBAC child shapes whose failure modes are structural — a cluster-scoped binding that must carry no owner reference and no group subject, and a namespaced Role whose every rule has to name the objects it covers — independent of any one service's policy for when they are required.
libs/service-k8s/src/service.rs	232	26	deep	disposable	libs/service-k8s/src/service.rs:233-241:///	277841ccb494	The metav1.Condition projection is a hand-written seam: a JsonSchema-deriving Condition the generator cannot synthesize from k8s-openapi, plus the clock-free fact/projection split that keeps status projection deterministic.
libs/service-k8s/src/stateful.rs	1	19	head	disposable	libs/service-k8s/src/stateful.rs:2-16://!	e11965e81527	Shared request-only resource defaults, dedicated-node placement, whole-layer CPU/memory replica planning, and one-GiB disk-driven shard-split planning for long-running stateful services.
libs/service-observability/e2e/service_log_jsonl.rs	1	20	deep	deferred:S3	-	-	Capture real tracing output and verify per-line framing, stable schema, inherited correlation, validation, redaction, bounds, static-schema drift, and exporter independence.
libs/service-observability/src/jsonl.rs	1	16	head	merged	libs/service-observability/src/jsonl.rs:2-31://!	20f64de6e9b5	Define ServiceLogEventV1, stable schema constants, correlation validation, sensitive-key exclusion, bounded attributes, and the tracing-subscriber JSONL formatter.
libs/service-observability/src/process.rs	1	15	head	disposable	libs/service-observability/src/process.rs:2-20://!	55c4c6953aba	Portable, safe process RSS and CPU sampling is shared by service performance and soak evidence.
